plant,R,G,B,time (hr),PPFD( umol/(m2-s)),time(day),FW (g),DW (g)
Chinese Kale,88.8889,0,11.1111,12,120,34,44.9,3.6
Chinese Kale,66.6667,0,33.3333,12,120,34,37,2.6
Lettuce ,0,0,100,12,200,20,3.4,0.62
Lettuce ,80,0,20,12,200,20,32.7,1.78
Lettuce ,88.8889,0,11.1111,12,200,20,73.78,3.44
Lettuce ,92.3077,0,7.6923,12,200,20,64.14,2.78
Lettuce ,100,0,0,12,200,20,66.08,3.43
Lettuce ,0,0,100,12,200,20,13.62,1.03
Lettuce ,80,0,20,12,200,20,82.78,4.06
Lettuce ,88.8889,0,11.1111,12,200,20,118.04,6.06
Lettuce ,92.3077,0,7.6923,12,200,20,103.86,5.37
Lettuce ,100,0,0,12,200,20,66.33,4.06
Lettuce ,16.6667,0,83.3333,16,90,20,9.4,0.44
Lettuce ,25,0,75,16,90,20,10.6,0.46
Lettuce ,50,0,50,16,90,20,10.3,0.55
Lettuce ,75,0,25,16,90,20,10.7,0.26
Lettuce ,83.3333,0,16.6667,16,90,20,10.9,0.25
Lettuce ,66.6667,0,33.3333,16,200,15,9.1,0.59
Lettuce ,75,0,25,16,200,15,10,0.58
Lettuce ,80,0,20,16,200,15,9.2,0.53
Lettuce ,88.8889,0,11.1111,16,200,15,12.4,0.68
purple basil,66.6667,16.6667,16.6667,12,180,65,24.63,1.82
purple basil,50,25,25,12,180,65,12.68,1.19
purple basil,33.3333,3.3333,33.3333,12,180,65,6.09,0.62
green basil,66.6667,16.6667,16.6667,12,180,65,52.75,7.94
green basil,50,25,25,12,180,65,42.2,5.92
green basil,33.3333,33.3333,33.3333,12,180,65,31.23,4.66
vanilla,100,0,0,16,25,60,1.4312,0.1256
vanilla,0,0,100,16,25,60,1.5312,0.1343
vanilla,50,0,50,16,25,60,2.7642,0.2758
Chinese kale,0,0,100,12,0,10,41.54,3.95
Chinese kale,0,0,100,12,50,10,58.74,5.17
Chinese kale,0,0,100,12,100,10,56.58,5.41
Chinese kale,0,0,100,12,150,10,43.33,4.2
Chinese Cabbage,100,0,0,12,80,60,5.93,0.73
Chinese Cabbage,0,0,100,12,80,60,6.67,0.49
Chinese Cabbage,50,0,50,12,80,60,5.28,0.53
